"filename", "language", "Markdown", "HTML", "JavaScript", "PostCSS", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_OPTIMIZATION_COMPREHENSIVE_SUCCESS.md", "Markdown", 177, 0, 0, 0, 0, 0, 0, 0, 76, 253
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_PERFORMANCE_OPTIMIZATION_SUCCESS.md", "Markdown", 320, 0, 0, 0, 0, 0, 0, 0, 91, 411
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_ROLE_BASED_IMPLEMENTATION_COMPLETE.md", "Markdown", 101, 0, 0, 0, 0, 0, 0, 0, 50, 151
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_ROLE_BASED_TASK_CONTROL_IMPLEMENTATION.md", "Markdown", 253, 0, 0, 0, 0, 0, 0, 0, 90, 343
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_SCORE_ADJUSTMENT_ROLE_CONTROL_IMPLEMENTATION.md", "Markdown", 304, 0, 0, 0, 0, 0, 0, 0, 106, 410
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_TASK_COMPLETION_REFACTOR_SUCCESS.md", "Markdown", 376, 0, 0, 0, 0, 0, 0, 0, 105, 481
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_TASK_COMPLETION_TESTING_SUCCESS.md", "Markdown", 265, 0, 0, 0, 0, 0, 0, 0, 93, 358
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_TASK_STATE_MANAGEMENT_CRITICAL_FIX.md", "Markdown", 266, 0, 0, 0, 0, 0, 0, 0, 80, 346
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\IMMEDIATE_FIXES_APPLIED.md", "Markdown", 91, 0, 0, 0, 0, 0, 0, 0, 35, 126
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\INVALID_HOOK_CALL_FIXED.md", "Markdown", 132, 0, 0, 0, 0, 0, 0, 0, 48, 180
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRINCIPAL_ENGINEER_MIGRATION_GUIDE.md", "Markdown", 182, 0, 0, 0, 0, 0, 0, 0, 88, 270
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_MULTI_UPSTASH_COMPATIBILITY_FIXED.md", "Markdown", 201, 0, 0, 0, 0, 0, 0, 0, 84, 285
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TASKSTATEMANAGER_ERROR_FIXED.md", "Markdown", 174, 0, 0, 0, 0, 0, 0, 0, 75, 249
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TASK_FILTERING_SIMPLIFICATION_COMPLETE.md", "Markdown", 148, 0, 0, 0, 0, 0, 0, 0, 68, 216
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TODAY_BUTTON_SHINING_BUG_FIX.md", "Markdown", 103, 0, 0, 0, 0, 0, 0, 0, 33, 136
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TRANSLATION_ERRORS_RESOLVED.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 0, 58, 221
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\enterprise-optimization-validation.html", "HTML", 0, 378, 0, 0, 0, 0, 0, 0, 36, 414
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\badges\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -23, -1, -3, -27
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\ConfirmCompletion\route.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 12, 10, 93
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\globals.css", "PostCSS", 0, 0, 0, 149, 0, 0, 0, 20, 23, 192
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\debug\FilterStateDebugger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 19, 15, 163
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-archive.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -316, -34, -40, -390
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-leaderboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -284, -25, -27, -336
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-member-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -184, -27, -21, -232
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\EnterpriseDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 19, 5, 36
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 29, 13, 113
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\DashboardContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 17, 8, 98
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\DashboardHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 28, 12, 130
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\DashboardMemberCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 461, 66, 44, 571
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\DashboardMemberGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 23, 13, 152
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\DashboardStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 26, 15, 185
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\TaskCompletionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 246, 57, 19, 322
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\components\TaskFilterTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 814, 124, 78, 1016
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\examples\FilteringExample.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 216, 26, 25, 267
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useDashboardData.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 22, 12, 131
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useDashboardStats.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 18, 5, 38
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useMemberCardGradients.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 34, 11, 107
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useRoleBasedTaskControl.ts", "TypeScript", 0, 0, 0, 0, 159, 0, 0, 73, 19, 251
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useTaskCompletion.ts", "TypeScript", 0, 0, 0, 0, 758, 0, 0, 120, 106, 984
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\hooks\useTaskFiltering.ts", "TypeScript", 0, 0, 0, 0, 192, 0, 0, 81, 31, 304
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\index.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 18, 8, 80
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\providers\DashboardProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 39, 26, 177
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\features\dashboard\types.ts", "TypeScript", 0, 0, 0, 0, 132, 0, 0, 84, 21, 237
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\leaderboard-clean.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -30, -1, -6, -37
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\pages\BadgePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -406, -35, -35, -476
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\responsive-archive-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\smart-dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 40, 22, 178
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\design-system\filter-theme.ts", "TypeScript", 0, 0, 0, 0, 383, 0, 0, 42, 22, 447
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\design-system\useFilterTheme.ts", "TypeScript", 0, 0, 0, 0, 244, 0, 0, 58, 38, 340
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\feature-flags.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 18, 9, 55
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\redis.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\taskStateManager.ts", "TypeScript", 0, 0, 0, 0, 346, 0, 0, 82, 41, 469
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\messages\ar.json", "JSON", 0, 0, 0, 0, 0, 76, 0, 0, 0, 76
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\messages\en.json", "JSON", 0, 0, 0, 0, 0, 76, 0, 0, 0, 76
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\test-dashboard-import.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 2, 2, 37
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\test-dashboard-imports.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 1, 0, 3
"Total", "-", 4411, 378, 330, 149, 2638, 152, 1357, 1257, 2237, 12909
