"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "TypeScript JSX", "PostCSS", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTO_LOGIN_SIGNUP_FIX.md", "Markdown", 0, 0, 210, 0, 0, 0, 0, 0, 0, 3, 77, 290
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CENTRALIZED_COOKIE_MANAGEMENT.md", "Markdown", 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 87, 360
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COMPLETE_LOGIN_FIX.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 90, 10, 123
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COOKIE_CLEARING_BEST_PRACTICES.md", "Markdown", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 47, 179
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COOKIE_SECURITY_BEST_PRACTICES.md", "Markdown", 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 85, 369
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DIAGNOSTIC_TESTING_PLAN.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 138, 9, 166
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DIRECT_CLASS_USAGE_SUCCESS.md", "Markdown", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\EMERGENCY_LOGIN_FIX.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 75, 10, 103
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENHANCED_APP_PROVIDER_COMPATIBILITY.md", "Markdown", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 55, 190
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENHANCED_APP_PROVIDER_REAL_ENDPOINT_STATUS.md", "Markdown", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 44, 144
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_MIGRATION_COMPLETE.md", "Markdown", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 65, 235
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_SIGNUP_COMPLETE.md", "Markdown", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 78, 318
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FINAL_VICTORY_LOGIN_WORKING.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 116, 10, 158
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FIXED_TOKEN_DELETION_ISSUE.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 79, 14, 139
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\GET_ALL_TASKS_ENTERPRISE_REFACTOR_SUMMARY.js", "JavaScript", 0, 355, 0, 0, 0, 0, 0, 0, 0, 10, 4, 369
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\INTERNAL_SERVER_ERROR_RESOLVED.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 73, 10, 103
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGIN_ACCESS_CRISIS_RESOLVED.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 90, 10, 121
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGIN_PAGE_ACCESS_FIXED.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 103, 14, 157
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_COOKIE_DECISION.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 24, 89
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_ENDPOINT_REFACTOR_SUCCESS.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 23, 82
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_FUNCTIONALITY_COMPLETE.js", "JavaScript", 0, 228, 0, 0, 0, 0, 0, 0, 0, 206, 24, 458
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LOGOUT_IMPLEMENTATION_SUMMARY.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 264, 4, 292
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\MIDDLEWARE_DEBUG_BYPASS.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 96, 9, 125
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\NEXTJS15_COMPATIBILITY_FIX.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 82, 10, 111
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_COMPLETE.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 159, 16, 189
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_SUCCESS_CONFIRMED.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 109, 16, 154
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PHASE2_TESTING_GUIDE.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 190, 17, 218
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRODUCTION_BEHAVIOR_RESTORED.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 105, 15, 170
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\RBAC_IMPLEMENTATION_COMPLETE.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 172, 3, 194
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIRECT_PREVENTION_FIX.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 66, 13, 123
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REFRESHAPI_VS_COOKIESERVICE_ANALYSIS.md", "Markdown", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 105, 362
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_ADJUSTMENTS_ONLY_CORRECTED.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 132, 3, 148
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_ENDPOINTS_ENTERPRISE_REFACTOR_SUMMARY.js", "JavaScript", 0, 413, 0, 0, 0, 0, 0, 0, 0, 10, 4, 427
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_PERSISTENCE_FIX_COMPLETE.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 114, 3, 129
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SERVER_SIDE_AUTH_OPTIMIZATION_COMPLETE.md", "Markdown", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 35, 131
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SERVER_SIDE_SCORE_LOADING_COMPLETE.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 128, 3, 144
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SMART_CONDITIONAL_AUTH_SUCCESS.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 102, 11, 138
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SMART_LOGOUT_SECURITY_FIX.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 86, 20, 178
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TASK_COMPLETION_ENTERPRISE_REFACTOR_SUMMARY.js", "JavaScript", 0, 395, 0, 0, 0, 0, 0, 0, 0, 10, 4, 409
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_DELETION_FIX_SUMMARY.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 33, 6, 76
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_REFRESH_IMPLEMENTATION.md", "Markdown", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 34, 134
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_STATUS_ENTERPRISE_REFACTOR.md", "Markdown", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 81, 294
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\TOKEN_STATUS_REFACTOR_SUMMARY.md", "Markdown", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 28, 103
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\complete-auth-test.html", "HTML", 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 28, 345
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\components.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\cookie-security-fix-summary.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 5, 5, 83
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ADDTASK_FETCHAUTH_REFACTOR.md", "Markdown", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 77, 392
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ADJUSTSCORE_SECUREENDPOINT_REFACTOR.md", "Markdown", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 55, 315
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\BUG_FIX_SUMMARY.md", "Markdown", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 24, 108
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\COOKIE_DEBUGGING_GUIDE.md", "Markdown", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 60, 210
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\DEVELOPMENT_UTILITIES_GUIDE.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 92, 344
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ENHANCED_RATE_LIMITING_GUIDE.md", "Markdown", 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 102, 400
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\LOGIN_ENDPOINT_REFACTOR.md", "Markdown", 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 71, 354
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\LOGOUT_ENDPOINT_REFACTOR.md", "Markdown", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 71, 358
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\PERMISSION_SYSTEM_EXPLANATION.md", "Markdown", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 43, 227
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\ROLE_SYSTEM_GUIDE.md", "Markdown", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 52, 279
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\SCORE_SERVICE_INTEGRATION.md", "Markdown", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 107, 394
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\SECURE_ENDPOINT_ENHANCEMENT_GUIDE.md", "Markdown", 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 61, 330
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\TOKEN_REFRESH_IMPLEMENTATION.md", "Markdown", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 41, 168
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\docs\blueprint.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\enhanced-addtask-example.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 75, 22, 254
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\rate-limiting-migration-examples.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 297, 12, 309
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\examples\secure-addtask-example.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 51, 11, 120
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\frontend-token-management-strategy.js", "JavaScript", 0, 314, 0, 0, 0, 0, 0, 0, 0, 92, 57, 463
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\integration-roadmap.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 0, 0, 7, 6, 169
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\next.config.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 34
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package-lock.json", "JSON", 0, 0, 0, 11005, 0, 0, 0, 0, 0, 0, 1, 11006
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package.json", "JSON", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\phase2-integration-complete.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 141, 13, 179
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\ai\dev.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\ai\genkit.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\archive\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 21
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 11, 23, 155
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 41, 5, 79
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 10, 22
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\phase2-test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, 3, 19
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 8, 73
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\simple-login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 4, 65
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\test-auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 3, 14
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\AddTask\route.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 112
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\AdjustScore\route.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 174
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\AdjustScore\secure-route.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 0, 0, 0, 57, 53, 440
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\ConfirmCompletion\route.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 34, 16, 182
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\ConfirmResetCompletion\route.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 112
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\GetAllTasks\route.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 27, 13, 143
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\InitiateCompletion\route.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 35, 20, 220
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\InternalCompletionResetTrigger\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 47
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\ResetCompletionScanning\route.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 95
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\login\route.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 127
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\logout\route.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 275
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\refresh\route.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 163
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\signup\route.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 159
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\token-status\route.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 222
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\auth\user-info\route.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 88
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\debug\auth-test\route.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 80
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\debug\refresh\route.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 147
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\debug\route.ts", "TypeScript", 209, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 241
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\debug\user-info\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\kv\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\score\[userId]\route.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 31, 18, 196
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\score\[userId]\scoreLog\route.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 33, 24, 277
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\archive\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 91, 0, 0, 2, 6, 99
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 20, 3, 67
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\test-auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\add-task-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 233, 0, 0, 0, 8, 22, 263
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\archive-main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\archive-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 5, 10, 128
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\auth-guard-example.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 216, 0, 0, 0, 29, 33, 278
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\auth-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 15, 25, 152
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\conditional-app-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 11, 65
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 10, 101
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 0, 19, 23, 241
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\language-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\loading-spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 205, 0, 0, 0, 5, 8, 218
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\overall-progress-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 8, 68
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\performance-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 2, 9, 107
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\phase2-auth-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 297, 0, 0, 0, 18, 31, 346
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\signup-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 4, 8, 170
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\step2-auth-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 0, 14, 16, 164
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\task-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 318, 0, 0, 0, 24, 44, 386
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 9, 59
