"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRINCIPAL_ENGINEER_ARCHIVE_RESPONSIVE_IMPLEMENTATION.md", "Markdown", 327, 0, 0, 0, 0, 0, 0, 0, 116, 443
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PRODUCTION_REDIS_CRISIS_RESOLVED.md", "Markdown", 114, 0, 0, 0, 0, 0, 0, 0, 47, 161
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PROFESSIONAL_DROPDOWN_THEMING_SOLUTION.md", "Markdown", 258, 0, 0, 0, 0, 0, 0, 0, 101, 359
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\PROFESSIONAL_DROPDOWN_UX_ENHANCEMENT.md", "Markdown", 118, 0, 0, 0, 0, 0, 0, 0, 53, 171
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_CONFIGURATION_FIX_COMPLETE.md", "Markdown", 139, 0, 0, 0, 0, 0, 0, 0, 58, 197
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_DEBUGGING_ANALYSIS.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 47, 163
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_ISSUE_RESOLVED_SUCCESS.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 36, 120
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_VARIABLE_REDUNDANCY_EXPLANATION.md", "Markdown", 158, 0, 0, 0, 0, 0, 0, 0, 53, 211
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\REDIS_WARNING_ANALYSIS_TASK_COMPLETION.md", "Markdown", 145, 0, 0, 0, 0, 0, 0, 0, 57, 202
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\RESPONSIVE_ARCHIVE_COMPLETE.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SCORE_BUG_ANALYSIS.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 23, 65
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\SYNTAX_FIXES_COMPLETE.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 15, 8, 62
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ZERO_DELAY_LEADERBOARD_ACHIEVEMENT.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 96, 33, 282
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\__mocks__\fileMock.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\aggressive-badge-fix.html", "HTML", 0, 0, 0, 213, 0, 0, 0, 10, 11, 234
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\customclasses-feature-showcase.html", "HTML", 0, 0, 0, 323, 0, 0, 0, 14, 25, 362
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\debug-redis.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 4, 9, 54
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\debug-score.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 6, 15, 92
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\jest.config.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 15, 14, 75
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\jest.setup.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 8, 8, 92
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package-lock.json", "JSON", 0, 0, 4128, 0, 0, 0, 0, 0, 0, 4128
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\redis-test.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 4, 7, 32
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\badges\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 1, 3, 27
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 2, 1, 11
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\leaderboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\[locale]\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -23, 0, -41, -2, -66
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\InitiateCompletion\route.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\ResetCompletionScanning\route.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 15, 2, 46
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\debug\redis\route.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 16, 10, 115
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\leaderboard\route.ts", "TypeScript", 0, 0, 0, 0, 376, 0, 0, 53, 42, 471
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\api\test-badges\route.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 8, 12, 59
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\debug\redis\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 1, 15, 193
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 98, 17, 15, 130
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\__tests__\archive-main.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 263, 0, 22, 47, 332
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\__tests__\archive-table-simple.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 15, 20, 133
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\__tests__\archive-table.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 22, 38, 255
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\archive-main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 13, 18, 201
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\archive-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 357, 0, 15, 14, 386
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 227, 0, 13, 12, 252
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-archive.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 316, 0, 34, 40, 390
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-leaderboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 284, 0, 25, 27, 336
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\enhanced-member-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 184, 0, 27, 21, 232
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\language-switcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, -1, 9
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\leaderboard-clean.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 1, 6, 37
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\leaderboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 796, 0, 42, 67, 905
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 11, 11, 53
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\login-page-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 222, 0, 17, 22, 261
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\pages\BadgePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 406, 0, 35, 35, 476
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\performance-summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 2, 1, 23
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\responsive-archive-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\task-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 2, 1, 27
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\__tests__\last-updated.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 228, 0, 5, 48, 281
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\__tests__\soon-badge.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 2, 24, 125
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\badge-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 453, 0, 36, 41, 530
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 21, 0, 40
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\last-updated.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 245, 0, 12, 15, 272
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\last-updated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 43, 14, 142
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 2, 1, 30
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\soon-badge.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 335, 0, 1, 14, 350
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\components\ui\soon-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 63, 36, 294
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\context\app-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\hooks\useAuthenticationGuard.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 7, 5, 29
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\hooks\useBadges.ts", "TypeScript", 0, 0, 0, 0, 312, 0, 0, 37, 56, 405
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\hooks\useScoreSync.ts", "TypeScript", 0, 0, 0, 0, 159, 0, 0, 46, 36, 241
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\api-client.ts", "TypeScript", 0, 0, 0, 0, 138, 0, 0, 13, 24, 175
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\api.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\api\client.ts", "TypeScript", 0, 0, 0, 0, 630, 0, 0, 115, 98, 843
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\completionDateCache.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 40, 25, 198
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\completionDateService.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 14, 19, 96
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\config\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\database\user-repository.ts", "TypeScript", 0, 0, 0, 0, 395, 0, 0, 99, 46, 540
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\design-system\colors.ts", "TypeScript", 0, 0, 0, 0, 201, 0, 0, 17, 20, 238
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\design-system\responsive-archive.ts", "TypeScript", 0, 0, 0, 0, 186, 0, 0, 44, 42, 272
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\design-system\theme-utils.ts", "TypeScript", 0, 0, 0, 0, 291, 0, 0, 15, 16, 322
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\gamification\badge-definitions.ts", "TypeScript", 0, 0, 0, 0, 622, 0, 0, 34, 24, 680
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\gamification\badge-service.ts", "TypeScript", 0, 0, 0, 0, 448, 0, 0, 62, 75, 585
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\gamification\mock-badge-service.ts", "TypeScript", 0, 0, 0, 0, 285, 0, 0, 32, 35, 352
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\getAllScoresService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\getAllTasksService.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\redis.ts", "TypeScript", 0, 0, 0, 0, 203, 0, 0, 13, 12, 228
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\redis\key-manager.ts", "TypeScript", 0, 0, 0, 0, 465, 0, 0, 148, 80, 693
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\redis\operations.ts", "TypeScript", 0, 0, 0, 0, 458, 0, 0, 105, 68, 631
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\security\index.ts", "TypeScript", 0, 0, 0, 0, 270, 0, 0, 124, 48, 442
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, -283, 0, 0, -28, -44, -355
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\utils\__tests__\i18n-numerals.test.ts", "TypeScript", 0, 0, 0, 0, 140, 0, 0, 7, 27, 174
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\utils\core.ts", "TypeScript", 0, 0, 0, 0, 157, 0, 0, 110, 29, 296
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\lib\utils\i18n-numerals.ts", "TypeScript", 0, 0, 0, 0, 198, 0, 0, 146, 51, 395
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\messages\ar.json", "JSON", 0, 0, 190, 0, 0, 0, 0, 0, 0, 190
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\messages\en.json", "JSON", 0, 0, 195, 0, 0, 0, 0, 0, 0, 195
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\src\types\badges.ts", "TypeScript", 0, 0, 0, 0, 204, 0, 0, 48, 37, 289
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-arabic-numbers.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 5, 25
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-badge-positioning-fixed.html", "HTML", 0, 0, 0, 166, 0, 0, 0, 12, 9, 187
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-badge-positioning.html", "HTML", 0, 0, 0, 165, 0, 0, 0, 4, 10, 179
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-integration.mjs", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 5, 32
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-internationalization.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 10, 77
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-leaderboard-optimization.js", "JavaScript", 0, 143, 0, 0, 0, 0, 0, 17, 21, 181
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-mock-badge-service.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 8, 10, 61
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-positioning.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 7, 6, 70
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-progress-calculation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-redis-connection.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 5, 6, 25
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\test-score-calculation.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 7, 8, 38
"Total", "-", 5160, 1469, 4525, 924, 6319, 5594, 98, 2631, 3630, 30350
